Symbol,Weight
I,131.17
L,131.17
K,146.19
M,149.21
F,165.19
T,119.12
W,204.23
V,117.15
R,174.2
H,115.16
A,89.09
N,132.12
D,133.1
C,121.16
E,147.13
Q,146.15
G,75.07
P,115.13
S,105.09
Y,181.19
B,224.31
1,43.04
